adjust-26.9	adapt accommodate conform adjust gear fit readjust readapt assimilate
pain-40.8.1	ail bother burn hurt itch kill pain wrench
poison-42.2	asphyxiate behead bullet crucify dart decapitate disembowel drown electrocute evicerate fry gas garrotte hang impale knife pip poison shoot smother stab stone strangle strangulate suffocate throttle
remedy-45.7	abase africanize alcoholize alleviate anesthetize animate backfill bastardize bedew blast blemish bloody botch bowdlerize bring-out bring-up bungle capacitate carbonify castrate catholicize cauterize chamfer chlorinate christianize circumcise circumscribe coif commercialize configure constipate constringe construct contextualize correct counteract cremate deafen debase deconstruct dehumidify delineate demean dement demobilize desalinate desensitize diffract disable dishevel disinfect disinter dispel dislocate disorganize edify emasculate embitter embrocate enhance enunciate eternalize eternize europeanize exacerbate exhume expropriate fanaticize federalize fertilize flouridate fortify grade humanize humidify hydrogenate ice immortalize inactivate incinerate inseminate inspissate invert iodize light manure marginalize mechanize medicate militarize mineralize miniaturize minimize mishandle mismanage motorize muddy mummify mute nasalize nitrify objectify obscure obviate overshadow oxygenate paralyze pasteurize perfect perpetuate pink pollard popularize prejudge prettify publicize raise reanimate rectify redact refract regularize remaster remedy repair revise secularize sensationalize shortchange silence singe sinter sovietize sterilize streamline subvert sulfurize tabulate taiwanize tart up tousle traumatize truncate trivialize turn-up turn-down underfeed urbanize ventilate vulgarize
render-29.90	drive render take leave
roll-51.3.1	bounce drift drop float glide move nose roll slide swing coil revolve rotate spin turn twirl twist whirl wind snake soar spiral undulate
scribble-25.2	copy forge jot jot_down misspell spell take take_down trace underscore underline
simple_dressing-41.3.1	don doff wear
snooze-40.4	catnap doze drowse slumber snooze
spank-18.3	belt biff birch bludgeon bonk brain cane clobber clout club conk cosh cudgel cuff elbow flagellate flail flog fustigate knee knife k.o. lam larrup lather paddle pommel pummel slam sock spank strap thrash thump truncheon wallop wham whap whip whisk whomp whop horsewhip
subjugate-42.3	disenfranchise enslave mob nourish suppress stamp_down subdue conquer curb crush stifle dampen suffocate choke hush silence still shut_up hush_up lull calm_down gag muzzle squelch quell quench smother muffle repress quash keep_down subjugate reduce slake strangle kill walk_over
suffocate-40.7	asphyxiate choke stifle suffocate
swat-18.2	bite chop claw kick paw peck punch scratch slice slug stab swat swipe
tape-22.4	affix anchor band belt bond bolt bracket buckle button cable cement chain cinch connect epoxy fasten fetter glue gum handcuff harness hinge hitch hook knot lace lash lasso latch leash link lock loop manacle moor muzzle nail padlock paste peg pin plaster rivet rope screw seal shackle skewer solder staple stitch strap string suture tack tape tether thread thumbtack tie trammel truss weld wire yoke zip
tingle-40.8.2	ache burn hum palpitate pound prickle pucker reel smart spin split sting swim throb tickle tingle twinge
transcribe-25.4	chart chronicle copy document duplicate film forge microfilm photocopy photograph record tally tally_up tape televise transcribe type videotape write_up write_out
turn-26.6.1	alter deform metamorphose morph mutate transform translate transmute
vehicle-51.4.1	balloon boat bobsled bus cab caravan chariot coach dogsled ferry gondola helicopter jeep jet moped motor parachute punt rickshaw rocket sledge sleigh taxi tram trolley yacht
void-106	annul quash void avoid invalidate nullify
wipe_instr-10.4.2	file filter hoover iron plough sandpaper sponge squeegee towel
